Team,Survived,TimeAlive,TravelledDistance,RLethalGrenadesThrown,RNonLethalGrenadesThrown,FirstKillTime,RoundKills,RoundAssists,RoundHeadshots,RoundFlankKills,RoundStartingEquipmentValue,TeamStartingEquipmentValue,MatchKills,MatchAssists,MatchHeadshots,Kills_per_minute,Assist_to_Kill_Ratio,Accuracy,Equipamiento_total,GrenadeActivity
1,1,19313,0.2170353831277291,0.6094330214553662,2.068296156785312,5580,2.091028555147929,0.0,-0.5252080787055295,0.0,-0.1586251418790863,-0.2011757203285777,-0.2201359876737691,-1.0343435006629729,-0.9532512455398175,-0.000690738924715408,4.698657005577025,4.373586382531942,-0.36339887082974065,2.677729178240678
0,1,19313,-0.0569927710581842,0.6094330214553662,1.2052642174761123,3261,-0.7874367562832917,0.0,-0.5252080787055295,0.0,0.4583520475506917,1.4433932326455774,0.8316333985269984,0.7601531311934734,1.6987089988146749,0.002609485007545927,0.9140483445468496,2.063043754425554,1.9207627329982317,1.8146972389314784
0,1,19313,0.2300616692909731,-1.054461378759474,-0.5207996611422865,13900,2.091028555147929,0.0,1.4769151562722802,0.0,1.2295735343379144,1.4433932326455774,1.1822231939272545,-0.4361779567108241,0.7042239071817401,0.003709559651633106,-0.3689472165250577,0.6016344036448702,2.699696434653327,-1.5752610399017606
0,0,17203,0.5269343296596244,0.6094330214553662,1.2052642174761123,10106,0.651795899432319,0.0,1.4769151562722802,0.0,1.5380621290528034,1.4433932326455774,-0.2201359876737691,0.1619875872413246,0.041233846093117,-0.0007677823205502,-0.7358523654087054,-0.1873107915195745,2.981455361698381,1.8146972389314784
0,1,16843,0.9935367596410462,0.6094330214553662,1.2052642174761123,12889,0.651795899432319,0.0,1.4769151562722802,0.0,0.4583520475506917,1.3631703568907405,1.0069282962271262,0.7601531311934734,2.0302040293589863,0.003622861411349658,0.7549228023899038,2.0363973058813083,1.8397376284858464,1.8146972389314784
0,1,16843,1.538707445948234,0.6094330214553662,-0.5207996611422865,14475,0.651795899432319,0.0,-0.5252080787055295,0.0,1.2295735343379144,1.3631703568907405,1.357518091627382,-0.4361779567108241,0.7042239071817401,0.004884260307107862,-0.3213054466095088,0.5239459795345323,2.6186713301409417,0.0886333603130796
0,1,16843,-1.45773628787297,-1.054461378759474,-0.5207996611422865,10106,-0.7874367562832917,0.0,-0.5252080787055295,0.0,1.07532923698047,1.3631703568907405,-0.2201359876737691,0.1619875872413246,0.041233846093117,-0.0007920347238039551,-0.7358523654087054,-0.18918389943477024,2.462884589809922,-1.5752610399017606
1,0,19401,0.1586387113307446,0.6094330214553662,-1.383831600451486,1056,-0.7874367562832917,0.0,-0.5252080787055295,0.0,-0.1586251418790863,-0.5488081819328707,-1.2719053738745365,-0.4361779567108241,-0.9532512455398175,-0.0039335252014057,0.3429327099877869,0.749467110620014,-0.707433323811957,-0.7743985789961197
1,0,6922,-0.3838443022897301,0.6094330214553662,-1.383831600451486,4868,-0.7874367562832917,0.0,-0.5252080787055295,0.0,-0.1586251418790863,-0.5488081819328707,-0.5707257830740249,-1.0343435006629729,-0.2902611844511945,-0.004947059662589,1.8123300739837356,0.5085825681254472,-0.707433323811957,-0.7743985789961197
1,0,18302,0.1859116388662651,-1.054461378759474,-1.383831600451486,6716,-0.7874367562832917,0.0,-0.5252080787055295,0.0,-0.0043808445216418,-0.5488081819328707,-0.9213155784742808,-1.0343435006629729,-0.621756214995506,-0.0030203767188535,1.1226810061931969,0.6748569431824307,-0.5531890264545125,-2.43829297921096
0,1,3232,-1.165809169867192,0.6094330214553662,0.342232278166913,3652,-0.7874367562832917,0.0,-0.5252080787055295,0.0,1.07532923698047,1.4166522740606318,1.1822231939272545,1.956484219097771,1.0357189377260516,0.022166684886136007,1.6549195017892355,0.884838102040891,2.5169013261515127,0.9516652996222792
0,0,11679,-0.0888865503459146,-1.054461378759474,-0.5207996611422865,14475,-0.7874367562832917,0.0,-0.5252080787055295,0.0,1.2295735343379144,1.4166522740606318,1.357518091627382,-0.4361779567108241,0.7042239071817401,0.0069741489423446,-0.3213054466095088,0.5187583955787448,2.646225808398546,-1.5752610399017606
0,0,1252,-1.4336118790653058,0.6094330214553662,1.2052642174761123,5586,2.091028555147929,0.0,3.47903839125009,0.0,1.2295735343379144,1.4166522740606318,0.1304538077264867,0.1619875872413246,0.7042239071817401,0.0062517799229945,1.2417237186434031,5.398262568603874,2.646225808398546,1.8146972389314784
1,0,21916,0.835085084868724,-1.054461378759474,1.2052642174761123,8967,-0.7874367562832917,0.0,-0.5252080787055295,0.0,-0.1586251418790863,-0.2680281167909418,-0.7460206807741528,-1.0343435006629729,-0.621756214995506,-0.0020424001116284,1.3864810015583278,0.8334302667726364,-0.4266532586700281,0.1508028387166382
1,0,19401,0.2188905504110253,-1.054461378759474,1.2052642174761123,4868,-0.7874367562832917,0.0,-0.5252080787055295,0.0,-0.62135803395142,-0.2680281167909418,-0.5707257830740249,-1.0343435006629729,-0.2902611844511945,-0.0017650403063987,1.8123300739837356,0.5085825681254472,-0.8893861507423617,0.1508028387166382
1,0,21055,0.8623684326878828,0.6094330214553662,1.2052642174761123,6716,-0.7874367562832917,0.0,-0.5252080787055295,0.0,-0.0043808445216418,-0.2680281167909418,-0.9213155784742808,-1.0343435006629729,-0.621756214995506,-0.0026254540350727,1.1226810061931969,0.6748569431824307,-0.2724089613125836,1.8146972389314784
1,0,20765,0.8380930760430283,0.6094330214553662,1.2052642174761123,15670,-0.7874367562832917,0.0,-0.5252080787055295,0.0,-0.1586251418790863,-0.2680281167909418,0.1304538077264867,-0.4361779567108241,-0.621756214995506,0.0003769433404088,-3.3435433147748945,-4.766102468232268,-0.4266532586700281,1.8146972389314784
0,1,2336,-1.2363429261548504,0.6094330214553662,0.342232278166913,16262,0.651795899432319,0.0,1.4769151562722802,0.0,1.2295735343379144,0.5074596821724809,1.53281298932751,-0.4361779567108241,1.0357189377260516,0.03976389861012286,-0.2845604517627347,0.6824551555778872,1.7544035486754992,0.9516652996222792
0,1,2336,1.408465169092169,0.6094330214553662,1.2052642174761123,1326,0.651795899432319,0.0,-0.5252080787055295,0.0,1.2295735343379144,0.5074596821724809,0.3057487054266146,0.1619875872413246,0.7042239071817401,0.007931665902762303,0.5298062898264818,2.3263095922552472,1.7544035486754992,1.8146972389314784
1,0,9945,0.2865656831563131,0.6094330214553662,1.2052642174761123,7748,0.651795899432319,0.0,1.4769151562722802,0.0,-0.0043808445216418,-0.1209528445737409,1.357518091627382,0.7601531311934734,2.361699059903298,0.0081901543989585,0.5599580115224895,1.7397182950778298,-0.1253336890953827,1.8146972389314784
1,0,7438,0.2161164718670609,0.6094330214553662,0.342232278166913,6366,-0.7874367562832917,0.0,-0.5252080787055295,0.0,-0.1586251418790863,-0.1209528445737409,0.3057487054266146,0.7601531311934734,0.041233846093117,0.0024663783712821,2.4862022886828687,0.1348618828510915,-0.2795779864528272,0.9516652996222792
0,0,10104,-0.5635646542367829,-1.054461378759474,-0.5207996611422865,2799,-0.7874367562832917,0.0,-0.5252080787055295,0.0,-1.3154573720599203,-0.4819557854705067,-0.2201359876737691,-0.4361779567108241,0.041233846093117,-0.0013072208294166,1.98140232008416,-0.1873107915195745,-1.797413157530427,-1.5752610399017606
